assignment_id	batch_id	segment_id	role	assignee	model	reasoning_effort	base_commit	source_build	guidelines_revision	status	assigned_at	completed_at	input_path	output_path	reviewer_id	notes
ASN-1C71FB0BE2CFF6CA6B8A	BATCH-PILOT-NARRATIVE	SEG-BASE-127DE32707A4F6D46A1A	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-F8CB0DE540585C9A3366	BATCH-PILOT-NARRATIVE	SEG-BASE-139EAA99E9E1A7CDDA47	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-D585D39219E0EA46AC3C	BATCH-PILOT-NARRATIVE	SEG-BASE-CEB8E661C52E6F16B598	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-4150071B33DBA38BA6D5	BATCH-PILOT-NARRATIVE	SEG-BASE-D075FDF7319EA8E18400	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-01775D83A089849C6500	BATCH-PILOT-NARRATIVE	SEG-BASE-1BFB2E70F389AE20754C	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-84D319A2C22711AF1ABD	BATCH-PILOT-NARRATIVE	SEG-BASE-63703B398EDAC1B3F19B	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-DDEB6B208BEC899FF995	BATCH-PILOT-NARRATIVE	SEG-BASE-DC048E03A896F1FC649C	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-A96FA9C5DC02BF5B18E2	BATCH-PILOT-NARRATIVE	SEG-BASE-DCBA25FAB1B7D6DAB31F	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-5AA99A4D56E701298C48	BATCH-PILOT-NARRATIVE	SEG-BASE-93F85E7C887B3FA89B4C	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-4FBD502514952710EED8	BATCH-PILOT-NARRATIVE	SEG-BASE-B0E2499E47CD86631179	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-722A2F97428EE02C669F	BATCH-PILOT-NARRATIVE	SEG-BASE-F41611C3B0A244409222	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-91F8B4D47D5A2243748D	BATCH-PILOT-NARRATIVE	SEG-BASE-3D2E1D743B8300CB5222	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
ASN-A8ACDA9D6855986596F7	BATCH-PILOT-NARRATIVE	SEG-BASE-56DBBFC091B02C712AB5	translation_worker	translate_pilot_narrative	gpt-5.6-luna	xhigh	d266f05837da37b79d13beda587e06f686753a58	DGR-WIN-1.0.5-b3e7048e	d266f05837da37b79d13beda587e06f686753a58	RUNTIME_VALIDATED	2026-09-01T21:30:00+09:00	2026-09-01T21:50:00+09:00	work/BATCH-PILOT-NARRATIVE/input.tsv	work/BATCH-PILOT-NARRATIVE/output.tsv		{"assignment_schema_version":"2","assignments_revision":"8d9bf8f9e6e2ba41b08c6c4cb895795b7d4baf22f3b125ab5d718c74dd43b795","build_migration":{"from_build":"DGR-WIN-1.0.4-3ff472fb","to_build":"DGR-WIN-1.0.5-b3e7048e"},"input_sha256":"20b776f7347c464dd3b02f8bfe8ff5bca52f42428eaefdefc44470979c0bc438","segments_revision":"f48bdea7e5385985da25d8718dc780657344140525ae5c9258d7f124ba68c67d"}
