resource_id	content_pack_id	source_path	container_path	resource_type	format	encoding	newline	source_size	source_sha256	extractor_version	extracted_segment_count	scope_status	investigation_status	notes
RES-7E5BAD975BC3609E	BASE	addons/godotsteam/editor/steamworks_panel.gd	drepo.pck	script	gd	UTF-8	LF	189	56ee71c7b97f87e50394a7da6dfd032a3dbec607269f90b3003979a30c66008f	segments-v2	0	OUT_OF_SCOPE	EXTRACTABLE	GodotSteam editor-only resource; exact addons/godotsteam/editor script path + @tool
RES-9037A75E9616AE50	BASE	addons/godotsteam/editor/steamworks_panel.tscn	drepo.pck	scene	tscn	UTF-8	LF	4283	d87e1d308eed44f49752d5d0d1e3032b836b0f04a4e676d6774a7373c8614779	segments-v2	0	OUT_OF_SCOPE	EXTRACTABLE	GodotSteam editor-only resource; exact editor panel scene path + verified @tool script sources
RES-A0D1C1F50BA5E0A3	BASE	addons/godotsteam/editor/updates/updates.gd	drepo.pck	script	gd	UTF-8	LF	5667	6fecd91203ed0061b7739a8fb1a7705b8499d74dde27099ecc1a4bebcbf8d8dd	segments-v2	0	OUT_OF_SCOPE	EXTRACTABLE	GodotSteam editor-only resource; exact addons/godotsteam/editor script path + @tool
RES-848A194F07EA5A31	BASE	addons/godotsteam/godotsteam_plugin.gd	drepo.pck	script	gd	UTF-8	LF	3882	d214bc0c9512fa1b3eb7fcde2499e8f43fd209c0caf856e4875a1933ed2fe955	segments-v2	0	OUT_OF_SCOPE	EXTRACTABLE	GodotSteam editor-only resource; exact path + @tool + extends EditorPlugin
RES-5E986630631A9C32	BASE	data/confirm_keys.gd	drepo.pck	script	gd	UTF-8	LF	409	c0b3761bc60ccfa16c71aa1afc004a332b0ff36bb3b4cbe413ccbe0a0dff3d82	segments-v2	0	IN_SCOPE	EXTRACTABLE	
RES-2E00ACC886FEB4BD	BASE	data/game_data.gd	drepo.pck	script	gd	UTF-8	LF	18324	02343c25500d55f2076911003b3163987715e109125d9c4f52a3faa0e08559f9	segments-v2	168	IN_SCOPE	EXTRACTABLE	3 developer console/log segments out of scope; 1 other segments out of scope
RES-5ADB8BB74B87307D	BASE	data/hint.gd	drepo.pck	script	gd	UTF-8	LF	5772	9b7ecaa3c40c9997ad14b7e01e0807a3dac0b8d558f07f08b02cebfc3c865682	segments-v2	17	IN_SCOPE	EXTRACTABLE	
RES-42D08B5B9BF398C1	BASE	data/hint_overrides.gd	drepo.pck	script	gd	UTF-8	LF	27164	811f6a17c8cd6a0cb8dabefd0a4ec12beb370023be8eb1929ed84f439f030744	segments-v2	302	IN_SCOPE	EXTRACTABLE	
RES-0C76F40650D40C90	BASE	data/log_entry.gd	drepo.pck	script	gd	UTF-8	LF	380	2155749ccd6e037ee560ed4767ceb1c882c5420f5fd4777a437ca88abf2a61ca	segments-v2	0	IN_SCOPE	EXTRACTABLE	
RES-612359A5B468D4C9	BASE	data/person.gd	drepo.pck	script	gd	UTF-8	LF	445	6c88936639a2e401089fba606f18ceb6558eb011327da23248806f7a1971ed29	segments-v2	0	IN_SCOPE	EXTRACTABLE	
